attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
project		categorical				
reef		categorical				
date		Date		!Add datetime specifier here!		
year		Date		!Add datetime specifier here!		
station_clean		categorical				
transect		categorical				
diver		categorical				
depth_zn		numeric	!Add units here!			
datatyp		categorical				
species		categorical				
number		numeric	!Add units here!			
size		numeric	!Add units here!			
size_tp		numeric	!Add units here!			
no_tp		numeric	!Add units here!			
area		numeric	!Add units here!			
