attributeName	code	definition
datatyp	QUAN	
diver	ALM	
diver	BJZ	
diver	JC	
diver	JE	
diver	JEC	
diver	JST	
diver	KD	
diver	KDK	
diver	KSP	
diver	PC	
diver	SAS	
diver	SC	
diver	SLH	
diver_tx_depthzn	ALM_A_10	
diver_tx_depthzn	ALM_A_20	
diver_tx_depthzn	ALM_A_5	
diver_tx_depthzn	ALM_B_10	
diver_tx_depthzn	ALM_B_20	
diver_tx_depthzn	ALM_B_5	
diver_tx_depthzn	ALM_C_10	
diver_tx_depthzn	ALM_C_5	
diver_tx_depthzn	BJZ_A_10	
diver_tx_depthzn	BJZ_B_10	
diver_tx_depthzn	JC_A_5	
diver_tx_depthzn	JC_B_5	
diver_tx_depthzn	JC_C_5	
diver_tx_depthzn	JE_A_5	
diver_tx_depthzn	JE_B_5	
diver_tx_depthzn	JE_C_5	
diver_tx_depthzn	JE_D_5	
diver_tx_depthzn	JE_E_5	
diver_tx_depthzn	JEC_A_10	
diver_tx_depthzn	JEC_A_20	
diver_tx_depthzn	JEC_A_5	
diver_tx_depthzn	JEC_B_10	
diver_tx_depthzn	JEC_B_20	
diver_tx_depthzn	JEC_B_5	
diver_tx_depthzn	JEC_C_10	
diver_tx_depthzn	JEC_C_5	
diver_tx_depthzn	JEC_D_5	
diver_tx_depthzn	JST_A_10	
diver_tx_depthzn	JST_A_5	
diver_tx_depthzn	JST_B_10	
diver_tx_depthzn	JST_B_5	
diver_tx_depthzn	JST_C_10	
diver_tx_depthzn	JST_C_5	
diver_tx_depthzn	KD_A_5	
diver_tx_depthzn	KD_B_5	
diver_tx_depthzn	KD_C_5	
diver_tx_depthzn	KD_D_5	
diver_tx_depthzn	KD_E_5	
diver_tx_depthzn	KDK_A_5	
diver_tx_depthzn	KDK_B_5	
diver_tx_depthzn	KSP_A_10	
diver_tx_depthzn	KSP_A_20	
diver_tx_depthzn	KSP_A_5	
diver_tx_depthzn	KSP_B_10	
diver_tx_depthzn	KSP_B_20	
diver_tx_depthzn	KSP_B_5	
diver_tx_depthzn	KSP_C_10	
diver_tx_depthzn	KSP_C_5	
diver_tx_depthzn	PC_A_5	
diver_tx_depthzn	PC_B_5	
diver_tx_depthzn	PC_C_5	
diver_tx_depthzn	PC_D_5	
diver_tx_depthzn	SAS_A_10	
diver_tx_depthzn	SAS_A_20	
diver_tx_depthzn	SAS_A_5	
diver_tx_depthzn	SAS_A_999999	
diver_tx_depthzn	SAS_B_10	
diver_tx_depthzn	SAS_B_20	
